-3.68031,7.73651,-0.00486391,0.014654,0.0326046,9.97405,0
-6.59624,11.9621,-0.0273746,0.0573065,0.101101,9.90513,0
-7.75029,13.6395,-0.0576548,0.111132,0.149842,9.85393,0
-8.21708,14.3234,-0.0908389,0.169088,0.176582,9.82532,0
-8.41559,14.6198,-0.125033,0.228429,0.188821,9.81195,0
-11.1045,8.28857,-0.162111,0.280115,3.53378,7.04149,0
-13.4421,1.18036,-0.214917,0.29787,7.50071,2.85701,0
-13.5112,-3.04981,-0.270729,0.29001,9.48812,0.527383,0
-11.2053,-5.7342,-0.319346,0.268684,9.68379,0.701275,0
-9.64705,-7.89848,-0.360979,0.238469,10.3035,0.0846245,0
-8.32856,-6.72863,-0.394296,0.205241,8.72492,1.85339,0
-5.42373,-8.37771,-0.423878,0.165736,8.89995,-0.381829,2
-6.82428,-9.58308,-0.448132,0.123812,10.2789,0.149916,0
-2.52871,-9.9409,-0.461976,0.0776557,9.57769,0.615247,0
-2.1402,-8.43621,-0.468557,0.0289662,8.02947,-0.186167,2
-1.30588,-9.82952,-0.469517,-0.0193388,9.17978,1.16684,0
0.280672,-10.8426,-0.466145,-0.0695839,10.1476,0.225656,0
0.717942,-9.41862,-0.456939,-0.118579,8.77779,1.77986,0
3.21564,-10.5181,-0.441973,-0.168658,10.3821,0.0524115,0
3.19798,-9.48627,-0.422024,-0.215906,9.38786,1.1585,0
3.63595,-8.66907,-0.396118,-0.262022,8.77342,1.82898,0
5.02802,-7.79053,-0.366448,-0.308123,8.80801,-0.34935,2
5.49419,-7.48232,-0.331632,-0.351224,8.82202,-0.204005,2
7.47335,-6.32353,-0.288387,-0.385175,9.40437,1.01363,0
8.46552,-6.06486,-0.239897,-0.414266,9.92385,0.34524,0
7.27218,-3.94013,-0.187955,-0.43841,7.85729,-0.231721,2
9.62481,-3.96874,-0.133432,-0.457919,9.87392,0.519818,0
8.36602,-2.50526,-0.0763608,-0.470464,8.25443,1.78534,0
10.0524,-2.19305,-0.0178555,-0.476399,9.65628,0.80681,0
9.16513,-1.29425,0.0417983,-0.477221,8.63946,1.91909,0
9.48598,1.0303,0.103271,-0.470389,9.13704,1.34746,0
7.46598,2.67661,0.164398,-0.452495,7.63647,-0.0869265,2
